iter	Passed	Remaining
205	1388	5352
206	1395	5344
207	1400	5332
208	1405	5319
209	1411	5310
210	1416	5298
211	1422	5287
212	1428	5277
213	1433	5266
214	1438	5253
215	1444	5243
216	1450	5233
217	1456	5224
218	1462	5214
219	1467	5204
220	1473	5194
221	1479	5186
222	1485	5177
223	1491	5168
224	1497	5158
225	1503	5149
226	1509	5141
227	1515	5132
228	1521	5123
229	1527	5115
230	1533	5103
231	1539	5096
232	1545	5087
233	1551	5078
234	1558	5072
235	1564	5063
236	1570	5057
237	1577	5049
238	1582	5039
239	1588	5031
240	1594	5022
241	1600	5013
242	1607	5006
243	1612	4996
244	1619	4989
245	1624	4978
246	1630	4969
247	1636	4962
248	1643	4956
249	1649	4947
250	1655	4940
251	1661	4932
252	1668	4925
253	1674	4917
254	1679	4905
255	1685	4899
256	1692	4892
257	1699	4887
258	1705	4879
259	1711	4871
260	1718	4865
261	1724	4857
262	1730	4850
263	1737	4843
264	1743	4834
265	1749	4828
266	1755	4820
267	1761	4812
268	1768	4804
269	1773	4795
270	1779	4788
271	1786	4782
272	1793	4777
273	1800	4770
274	1806	4762
275	1811	4751
276	1817	4743
277	1823	4734
278	1829	4727
279	1835	4720
280	1841	4712
281	1848	4705
282	1854	4697
283	1860	4691
284	1867	4684
285	1873	4677
286	1880	4672
287	1887	4665
288	1893	4658
289	1900	4651
290	1906	4644
291	1912	4638
292	1918	4629
293	1925	4622
294	1931	4615
295	1937	4607
296	1944	4601
297	1951	4596
298	1958	4590
299	1964	4584
300	1971	4577
301	1984	4585
302	1992	4583
303	2000	4580
304	2008	4576
305	2014	4568
306	2020	4561
307	2026	4553
308	2032	4544
309	2038	4537
310	2044	4529
311	2050	4521
312	2056	4514
313	2062	4506
314	2068	4499
315	2074	4490
316	2080	4483
317	2087	4477
318	2093	4468
319	2098	4460
320	2105	4453
321	2111	4445
322	2117	4437
323	2122	4428
324	2127	4419
325	2133	4411
326	2139	4402
327	2144	4393
328	2150	4385
329	2155	4377
330	2161	4367
331	2166	4360
332	2172	4351
333	2177	4342
334	2184	4337
335	2189	4327
336	2195	4318
337	2201	4310
338	2206	4302
339	2212	4294
340	2218	4286
341	2223	4278
342	2229	4270
343	2234	4261
344	2240	4252
345	2245	4244
346	2251	4236
347	2256	4228
348	2262	4220
349	2268	4212
350	2273	4204
351	2279	4196
352	2285	4188
353	2291	4180
354	2297	4173
355	2302	4165
356	2308	4157
357	2314	4150
358	2319	4142
359	2325	4134
360	2331	4127
361	2337	4119
362	2343	4111
363	2348	4103
364	2353	4095
365	2360	4088
366	2365	4080
367	2371	4073
368	2379	4069
369	2385	4061
370	2391	4053
371	2396	4045
372	2401	4037
373	2408	4031
374	2414	4023
375	2419	4015
376	2426	4009
377	2431	4001
378	2437	3993
379	2442	3985
380	2448	3977
381	2454	3970
382	2459	3962
383	2465	3955
384	2471	3948
385	2477	3940
386	2482	3932
387	2488	3925
388	2494	3917
389	2502	3913
390	2511	3911
391	2519	3907
392	2527	3904
393	2536	3901
394	2544	3897
395	2552	3892
396	2560	3888
397	2568	3885
398	2576	3881
399	2584	3876
400	2591	3871
401	2599	3866
402	2607	3862
403	2614	3856
404	2622	3852
405	2629	3847
406	2641	3849
407	2649	3844
408	2656	3838
409	2664	3833
410	2671	3828
411	2678	3823
412	2686	3818
413	2693	3812
414	2701	3808
415	2723	3822
